property_type,sector,price,price_per_sqft,area,bedRoom,bathroom,balcony,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,floor_category,luxury_category,area_room_ratio
flat,sector 36,0.82,7586.0,1081.0,3,2,2,,New Property,1081.0,,650.0,0,0,0,0,0,semifurnished,Low Floor,Low,360.3333333333333
flat,sector 89,0.95,8597.0,1105.0,2,2,2,,New Property,,,1103.0,1,1,0,0,0,semifurnished,Mid Floor,Low,552.5
flat,sohna road,0.32,5470.0,585.0,2,2,1,,New Property,,1000.0,585.0,0,0,0,0,0,semifurnished,High Floor,Low,292.5
flat,sector 92,1.6,8020.0,1995.0,3,4,3+,North-West,Relatively New,1995.0,1615.0,1476.0,0,1,0,0,1,furnished,Mid Floor,High,665.0
flat,sector 102,0.48,9023.0,532.0,2,2,1,North-East,Relatively New,632.0,,532.0,0,0,1,0,0,semifurnished,Mid Floor,High,266.0
flat,gwal pahari,7.5,14019.0,5350.0,4,4,3+,North-East,New Property,5350.0,,,0,1,0,1,1,furnished,High Floor,Low,1337.5
flat,sector 108,2.0,8554.0,2338.0,3,3,3+,East,Relatively New,2338.0,,,0,1,0,0,0,semifurnished,High Floor,Medium,779.3333333333334
flat,sector 102,1.9,9104.0,2087.0,3,4,3,North-East,Relatively New,1889.0,,,0,1,0,0,0,semifurnished,Mid Floor,High,695.6666666666666
house,sector 26,4.5,33333.0,1350.0,3,3,2,East,Moderately Old,,1350.0,,1,1,0,0,0,semifurnished,Low Floor,Medium,450.0
house,sector 109,1.55,6568.0,2360.0,3,2,0,,Undefined,,2360.0,,0,0,0,0,0,semifurnished,Low Floor,Low,786.6666666666666
flat,sector 28,1.6,14545.0,1100.0,2,2,2,North,Relatively New,,,1100.0,0,0,0,0,0,semifurnished,Mid Floor,Medium,550.0
flat,sector 109,2.25,8704.0,2585.0,3,4,3,North-East,Relatively New,2585.0,,,0,1,0,0,0,semifurnished,High Floor,Medium,861.6666666666666
flat,sector 65,2.77,14025.0,1975.0,4,4,3+,North-East,Relatively New,,,1975.0,1,1,0,0,0,unfurnished,Mid Floor,High,493.75
house,sector 12,1.2,14184.0,846.0,4,4,2,North,Relatively New,,846.0,,0,0,0,1,0,furnished,Low Floor,Low,211.5
flat,sector 92,1.55,7568.0,2048.0,3,4,3,South,Relatively New,1995.0,,,0,1,0,0,0,furnished,High Floor,Medium,682.6666666666666
flat,sector 85,1.09,6667.0,1635.0,2,2,3,South-West,Relatively New,1640.0,1638.0,1635.0,0,0,1,0,0,semifurnished,Mid Floor,High,817.5
flat,sector 70a,1.15,11500.0,1000.0,2,2,3,East,New Property,1450.0,1400.0,1000.0,0,0,0,1,0,semifurnished,Mid Floor,Medium,500.0
flat,sector 85,1.77,7350.0,2408.0,3,4,3+,South-West,New Property,2408.0,,,0,0,1,0,0,semifurnished,Mid Floor,Medium,802.6666666666666
flat,sector 30,0.85,12859.0,661.0,2,2,1,West,Old Property,,,661.0,0,0,0,0,1,furnished,Low Floor,Low,330.5
flat,sector 107,0.9,6589.0,1366.0,2,2,3+,,Relatively New,1366.0,,,0,0,0,0,1,furnished,Mid Floor,Low,683.0
flat,sector 3,1.2,8310.0,1444.0,2,2,3,,Under Construction,1444.0,,,0,0,0,0,0,semifurnished,Low Floor,Medium,722.0
flat,sector 2,0.6,8163.0,735.0,1,1,1,North-East,Moderately Old,735.0,,,0,0,0,0,0,furnished,Mid Floor,Medium,735.0
house,sector 41,9.0,27778.0,3240.0,8,5,3+,,Old Property,,3240.0,,0,1,1,1,0,furnished,Mid Floor,Low,405.0
